date,time_range,season,holiday,weekday,workingday,weathersit,casual,registered,count
2011-01-02,Evening,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,11,20,31
2011-01-02,Evening,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,0,9,9
2011-01-02,Evening,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,0,8,8
2011-01-03,Night,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,0,5,5
2011-01-03,Night,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,0,2,2
2011-01-03,Night,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,0,1,1
2011-01-03,Night,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,0,3,3
2011-01-03,Night,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,0,30,30
2011-01-03,Morning,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,1,63,64
2011-01-03,Morning,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,1,153,154
2011-01-03,Morning,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,7,81,88
2011-01-03,Morning,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,11,33,44
2011-01-03,Morning,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,10,41,51
2011-01-03,Morning,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,13,48,61
2011-01-03,Afternoon,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,8,53,61
2011-01-03,Afternoon,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,11,66,77
2011-01-03,Afternoon,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,14,58,72
2011-01-03,Afternoon,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,9,67,76
2011-01-03,Afternoon,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,11,146,157
2011-01-03,Afternoon,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,9,148,157
2011-01-03,Evening,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,8,102,110
2011-01-03,Evening,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,3,49,52
2011-01-03,Evening,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,3,49,52
2011-01-03,Evening,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,0,20,20
2011-01-03,Evening,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,1,11,12
2011-01-04,Night,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,0,5,5
2011-01-04,Night,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,0,2,2
2011-01-04,Night,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,0,1,1
2011-01-04,Night,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,0,2,2
2011-01-04,Night,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,0,4,4
2011-01-04,Night,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,0,36,36
2011-01-04,Morning,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,2,92,94
2011-01-04,Morning,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,2,177,179
2011-01-04,Morning,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,2,98,100
2011-01-04,Morning,Springer,workingday/weekend,Tuesday,workingday,Mist/Cloudy,5,37,42
2011-01-04,Morning,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,7,50,57
2011-01-04,Morning,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,12,66,78
2011-01-04,Afternoon,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,18,79,97
2011-01-04,Afternoon,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,9,54,63
2011-01-04,Afternoon,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,17,48,65
2011-01-04,Afternoon,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,15,68,83
2011-01-04,Afternoon,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,10,202,212
2011-01-04,Afternoon,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,3,179,182
2011-01-04,Evening,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,2,110,112
2011-01-04,Evening,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,1,53,54
2011-01-04,Evening,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,0,48,48
2011-01-04,Evening,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,1,34,35
2011-01-04,Evening,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,2,9,11
2011-01-05,Night,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,0,6,6
2011-01-05,Night,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,0,6,6
2011-01-05,Night,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,0,2,2
2011-01-05,Night,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,0,2,2
2011-01-05,Night,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,0,3,3
2011-01-05,Night,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,0,33,33
2011-01-05,Morning,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,1,87,88
2011-01-05,Morning,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,3,192,195
2011-01-05,Morning,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,6,109,115
2011-01-05,Morning,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,4,53,57
2011-01-05,Morning,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,12,34,46
2011-01-05,Morning,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,5,74,79
2011-01-05,Afternoon,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,6,65,71
2011-01-05,Afternoon,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,10,52,62
2011-01-05,Afternoon,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,7,55,62
2011-01-05,Afternoon,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,4,85,89
2011-01-05,Afternoon,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,4,186,190
2011-01-05,Afternoon,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,3,166,169
2011-01-05,Evening,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,5,127,132
2011-01-05,Evening,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,7,82,89
2011-01-05,Evening,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,3,40,43
2011-01-05,Evening,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,1,41,42
2011-01-05,Evening,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,1,18,19
2011-01-06,Night,Springer,workingday/weekend,Thursday,workingday,Clear/Few Clouds,0,11,11
2011-01-06,Night,Springer,workingday/weekend,Thursday,workingday,Clear/Few Clouds,0,4,4
2011-01-06,Night,Springer,workingday/weekend,Thursday,workingday,Clear/Few Clouds,0,2,2
2011-01-06,Night,Springer,workingday/weekend,Thursday,workingday,Mist/Cloudy,0,1,1
2011-01-06,Night,Springer,workingday/weekend,Thursday,workingday,Mist/Cloudy,0,4,4
2011-01-06,Night,Springer,workingday/weekend,Thursday,workingday,Mist/Cloudy,0,36,36
2011-01-06,Morning,Springer,workingday/weekend,Thursday,workingday,Mist/Cloudy,0,95,95
2011-01-06,Morning,Springer,workingday/weekend,Thursday,workingday,Clear/Few Clouds,3,216,219
2011-01-06,Morning,Springer,workingday/weekend,Thursday,workingday,Mist/Cloudy,6,116,122
2011-01-06,Morning,Springer,workingday/weekend,Thursday,workingday,Clear/Few Clouds,3,42,45
2011-01-06,Morning,Springer,workingday/weekend,Thursday,workingday,Clear/Few Clouds,2,57,59
2011-01-06,Morning,Springer,workingday/weekend,Thursday,workingday,Clear/Few Clouds,6,78,84
2011-01-06,Afternoon,Springer,workingday/weekend,Thursday,workingday,Clear/Few Clouds,12,55,67
2011-01-06,Afternoon,Springer,workingday/weekend,Thursday,workingday,Clear/Few Clouds,11,59,70
2011-01-06,Afternoon,Springer,workingday/weekend,Thursday,workingday,Clear/Few Clouds,8,54,62
2011-01-06,Afternoon,Springer,workingday/weekend,Thursday,workingday,Clear/Few Clouds,12,74,86
2011-01-06,Afternoon,Springer,workingday/weekend,Thursday,workingday,Clear/Few Clouds,9,163,172
2011-01-06,Afternoon,Springer,workingday/weekend,Thursday,workingday,Clear/Few Clouds,5,158,163
2011-01-06,Evening,Springer,workingday/weekend,Thursday,workingday,Clear/Few Clouds,3,109,112
2011-01-06,Evening,Springer,workingday/weekend,Thursday,workingday,Clear/Few Clouds,3,66,69
2011-01-06,Evening,Springer,workingday/weekend,Thursday,workingday,Mist/Cloudy,0,48,48
2011-01-06,Evening,Springer,workingday/weekend,Thursday,workingday,Mist/Cloudy,1,51,52
2011-01-06,Evening,Springer,workingday/weekend,Thursday,workingday,Mist/Cloudy,4,19,23
2011-01-07,Night,Springer,workingday/weekend,Friday,workingday,Mist/Cloudy,4,13,17
2011-01-07,Night,Springer,workingday/weekend,Friday,workingday,Mist/Cloudy,2,5,7
2011-01-07,Night,Springer,workingday/weekend,Friday,workingday,Mist/Cloudy,0,1,1
2011-01-07,Night,Springer,workingday/weekend,Friday,workingday,Mist/Cloudy,0,1,1
2011-01-07,Night,Springer,workingday/weekend,Friday,workingday,Light Rain/Light Snow,0,5,5
2011-01-07,Night,Springer,workingday/weekend,Friday,workingday,Mist/Cloudy,8,26,34
2011-01-07,Morning,Springer,workingday/weekend,Friday,workingday,Clear/Few Clouds,8,76,84
2011-01-07,Morning,Springer,workingday/weekend,Friday,workingday,Clear/Few Clouds,20,190,210
2011-01-07,Morning,Springer,workingday/weekend,Friday,workingday,Clear/Few Clouds,9,125,134
2011-01-07,Morning,Springer,workingday/weekend,Friday,workingday,Clear/Few Clouds,16,47,63
2011-01-07,Morning,Springer,workingday/weekend,Friday,workingday,Mist/Cloudy,19,48,67
2011-01-07,Morning,Springer,workingday/weekend,Friday,workingday,Mist/Cloudy,9,50,59
2011-01-07,Afternoon,Springer,workingday/weekend,Friday,workingday,Mist/Cloudy,9,64,73
2011-01-07,Afternoon,Springer,workingday/weekend,Friday,workingday,Mist/Cloudy,7,43,50
2011-01-07,Afternoon,Springer,workingday/weekend,Friday,workingday,Mist/Cloudy,9,63,72
2011-01-07,Afternoon,Springer,workingday/weekend,Friday,workingday,Mist/Cloudy,5,82,87
2011-01-07,Afternoon,Springer,workingday/weekend,Friday,workingday,Mist/Cloudy,9,178,187
2011-01-07,Afternoon,Springer,workingday/weekend,Friday,workingday,Clear/Few Clouds,7,116,123
2011-01-07,Evening,Springer,workingday/weekend,Friday,workingday,Clear/Few Clouds,3,92,95
2011-01-07,Evening,Springer,workingday/weekend,Friday,workingday,Clear/Few Clouds,1,50,51
2011-01-07,Evening,Springer,workingday/weekend,Friday,workingday,Clear/Few Clouds,0,39,39
2011-01-07,Evening,Springer,workingday/weekend,Friday,workingday,Mist/Cloudy,2,34,36
2011-01-07,Evening,Springer,workingday/weekend,Friday,workingday,Mist/Cloudy,1,14,15
2011-01-08,Night,Springer,workingday/weekend,Saturday,weekend/holiday,Mist/Cloudy,1,24,25
2011-01-08,Night,Springer,workingday/weekend,Saturday,weekend/holiday,Mist/Cloudy,1,15,16
2011-01-08,Night,Springer,workingday/weekend,Saturday,weekend/holiday,Mist/Cloudy,3,13,16
2011-01-08,Night,Springer,workingday/weekend,Saturday,weekend/holiday,Light Rain/Light Snow,0,7,7
2011-01-08,Night,Springer,workingday/weekend,Saturday,weekend/holiday,Light Rain/Light Snow,0,1,1
2011-01-08,Night,Springer,workingday/weekend,Saturday,weekend/holiday,Mist/Cloudy,0,5,5
2011-01-08,Night,Springer,workingday/weekend,Saturday,weekend/holiday,Mist/Cloudy,0,2,2
2011-01-08,Morning,Springer,workingday/weekend,Saturday,weekend/holiday,Mist/Cloudy,1,8,9
2011-01-08,Morning,Springer,workingday/weekend,Saturday,weekend/holiday,Light Rain/Light Snow,0,15,15
2011-01-08,Morning,Springer,workingday/weekend,Saturday,weekend/holiday,Light Rain/Light Snow,0,20,20
2011-01-08,Morning,Springer,workingday/weekend,Saturday,weekend/holiday,Mist/Cloudy,5,56,61
2011-01-08,Morning,Springer,workingday/weekend,Saturday,weekend/holiday,Mist/Cloudy,2,60,62
2011-01-08,Morning,Springer,workingday/weekend,Saturday,weekend/holiday,Mist/Cloudy,8,90,98
2011-01-08,Afternoon,Springer,workingday/weekend,Saturday,weekend/holiday,Clear/Few Clouds,7,95,102
2011-01-08,Afternoon,Springer,workingday/weekend,Saturday,weekend/holiday,Clear/Few Clouds,12,83,95
2011-01-08,Afternoon,Springer,workingday/weekend,Saturday,weekend/holiday,Clear/Few Clouds,5,69,74
2011-01-08,Afternoon,Springer,workingday/weekend,Saturday,weekend/holiday,Clear/Few Clouds,8,68,76
2011-01-08,Afternoon,Springer,workingday/weekend,Saturday,weekend/holiday,Clear/Few Clouds,5,64,69
2011-01-08,Afternoon,Springer,workingday/weekend,Saturday,weekend/holiday,Clear/Few Clouds,3,52,55
2011-01-08,Evening,Springer,workingday/weekend,Saturday,weekend/holiday,Clear/Few Clouds,4,26,30
2011-01-08,Evening,Springer,workingday/weekend,Saturday,weekend/holiday,Clear/Few Clouds,0,28,28
2011-01-08,Evening,Springer,workingday/weekend,Saturday,weekend/holiday,Clear/Few Clouds,2,35,37
2011-01-08,Evening,Springer,workingday/weekend,Saturday,weekend/holiday,Clear/Few Clouds,1,33,34
2011-01-08,Evening,Springer,workingday/weekend,Saturday,weekend/holiday,Clear/Few Clouds,0,22,22
2011-01-09,Night,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,1,24,25
2011-01-09,Night,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,0,12,12
2011-01-09,Night,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,0,11,11
2011-01-09,Night,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,0,4,4
2011-01-09,Night,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,0,1,1
2011-01-09,Night,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,0,1,1
2011-01-09,Night,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,0,1,1
2011-01-09,Morning,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,1,5,6
2011-01-09,Morning,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,0,10,10
2011-01-09,Morning,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,0,19,19
2011-01-09,Morning,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,0,49,49
2011-01-09,Morning,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,2,47,49
2011-01-09,Morning,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,4,79,83
2011-01-09,Afternoon,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,6,69,75
2011-01-09,Afternoon,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,8,64,72
2011-01-09,Afternoon,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,5,77,82
2011-01-09,Afternoon,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,13,79,92
2011-01-09,Afternoon,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,3,59,62
2011-01-09,Afternoon,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,4,44,48
2011-01-09,Evening,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,1,40,41
2011-01-09,Evening,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,0,38,38
2011-01-09,Evening,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,1,19,20
2011-01-09,Evening,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,5,10,15
2011-01-09,Evening,Springer,workingday/weekend,Sunday,weekend/holiday,Clear/Few Clouds,0,6,6
2011-01-10,Night,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,2,3,5
2011-01-10,Night,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,1,0,1
2011-01-10,Night,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,0,3,3
2011-01-10,Night,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,0,1,1
2011-01-10,Night,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,1,2,3
2011-01-10,Night,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,0,3,3
2011-01-10,Night,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,0,31,31
2011-01-10,Morning,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,2,75,77
2011-01-10,Morning,Springer,workingday/weekend,Monday,workingday,Mist/Cloudy,4,184,188
2011-01-10,Morning,Springer,workingday/weekend,Monday,workingday,Mist/Cloudy,2,92,94
2011-01-10,Morning,Springer,workingday/weekend,Monday,workingday,Mist/Cloudy,0,31,31
2011-01-10,Morning,Springer,workingday/weekend,Monday,workingday,Mist/Cloudy,2,28,30
2011-01-10,Morning,Springer,workingday/weekend,Monday,workingday,Mist/Cloudy,5,47,52
2011-01-10,Afternoon,Springer,workingday/weekend,Monday,workingday,Mist/Cloudy,4,50,54
2011-01-10,Afternoon,Springer,workingday/weekend,Monday,workingday,Mist/Cloudy,0,47,47
2011-01-10,Afternoon,Springer,workingday/weekend,Monday,workingday,Mist/Cloudy,2,43,45
2011-01-10,Afternoon,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,4,70,74
2011-01-10,Afternoon,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,4,174,178
2011-01-10,Afternoon,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,1,154,155
2011-01-10,Evening,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,3,92,95
2011-01-10,Evening,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,1,73,74
2011-01-10,Evening,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,1,37,38
2011-01-10,Evening,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,2,22,24
2011-01-10,Evening,Springer,workingday/weekend,Monday,workingday,Clear/Few Clouds,0,18,18
2011-01-11,Night,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,2,10,12
2011-01-11,Night,Springer,workingday/weekend,Tuesday,workingday,Clear/Few Clouds,0,3,3
2011-01-11,Night,Springer,workingday/weekend,Tuesday,workingday,Mist/Cloudy,0,3,3
2011-01-11,Night,Springer,workingday/weekend,Tuesday,workingday,Mist/Cloudy,0,6,6
2011-01-11,Night,Springer,workingday/weekend,Tuesday,workingday,Mist/Cloudy,0,27,27
2011-01-11,Morning,Springer,workingday/weekend,Tuesday,workingday,Mist/Cloudy,2,97,99
2011-01-11,Morning,Springer,workingday/weekend,Tuesday,workingday,Mist/Cloudy,3,214,217
2011-01-11,Morning,Springer,workingday/weekend,Tuesday,workingday,Mist/Cloudy,3,127,130
2011-01-11,Morning,Springer,workingday/weekend,Tuesday,workingday,Mist/Cloudy,3,51,54
2011-01-11,Morning,Springer,workingday/weekend,Tuesday,workingday,Mist/Cloudy,4,31,35
2011-01-11,Morning,Springer,workingday/weekend,Tuesday,workingday,Mist/Cloudy,2,55,57
2011-01-11,Afternoon,Springer,workingday/weekend,Tuesday,workingday,Mist/Cloudy,6,46,52
2011-01-11,Afternoon,Springer,workingday/weekend,Tuesday,workingday,Mist/Cloudy,3,60,63
2011-01-11,Afternoon,Springer,workingday/weekend,Tuesday,workingday,Mist/Cloudy,2,45,47
2011-01-11,Afternoon,Springer,workingday/weekend,Tuesday,workingday,Mist/Cloudy,4,72,76
2011-01-11,Afternoon,Springer,workingday/weekend,Tuesday,workingday,Mist/Cloudy,6,130,136
2011-01-11,Afternoon,Springer,workingday/weekend,Tuesday,workingday,Light Rain/Light Snow,1,94,95
2011-01-11,Evening,Springer,workingday/weekend,Tuesday,workingday,Light Rain/Light Snow,0,51,51
2011-01-11,Evening,Springer,workingday/weekend,Tuesday,workingday,Light Rain/Light Snow,0,32,32
2011-01-11,Evening,Springer,workingday/weekend,Tuesday,workingday,Light Rain/Light Snow,0,20,20
2011-01-11,Evening,Springer,workingday/weekend,Tuesday,workingday,Light Rain/Light Snow,1,28,29
2011-01-11,Evening,Springer,workingday/weekend,Tuesday,workingday,Light Rain/Light Snow,1,18,19
2011-01-12,Night,Springer,workingday/weekend,Wednesday,workingday,Mist/Cloudy,0,7,7
2011-01-12,Night,Springer,workingday/weekend,Wednesday,workingday,Mist/Cloudy,0,6,6
2011-01-12,Night,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,0,1,1
2011-01-12,Night,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,0,5,5
2011-01-12,Night,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,0,16,16
2011-01-12,Morning,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,0,54,54
2011-01-12,Morning,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,3,125,128
2011-01-12,Morning,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,3,78,81
2011-01-12,Morning,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,0,39,39
2011-01-12,Morning,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,3,32,35
2011-01-12,Morning,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,3,52,55
2011-01-12,Afternoon,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,0,49,49
2011-01-12,Afternoon,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,0,44,44
2011-01-12,Afternoon,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,1,48,49
2011-01-12,Afternoon,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,5,63,68
2011-01-12,Afternoon,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,0,139,139
2011-01-12,Afternoon,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,2,135,137
2011-01-12,Evening,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,1,82,83
2011-01-12,Evening,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,2,54,56
2011-01-12,Evening,Springer,workingday/weekend,Wednesday,workingday,Clear/Few Clouds,0,57,57
